County, FIPS,AgeAdjustedRateP100K
"Union County, Florida(6,10)",12125,982.6
"Harding County, New Mexico(7)",35021,721
"Holmes County, Mississippi(6,10)",28051,697.2
"Logan County, Nebraska(6,10)",31113,642.5
"Yalobusha County, Mississippi(6,10)",28161,636.3
"Dallam County, Texas(6,10)",48111,626.1
"Kingsbury County, South Dakota(6,10)",46077,606.9
"Meagher County, Montana(6,10)",30059,593.8
"Clay County, West Virginia(6,10)",54015,593.1
"Greene County, Alabama(6,10)",1063,591.2
"Thomas County, Nebraska(6,10)",31171,590
"Sanborn County, South Dakota(6,10)",46111,587.8
"Turner County, Georgia(7,9)",13287,574.7
"Iberville Parish, Louisiana(7,9)",22047,574.4
"Grand Isle County, Vermont(6,10)",50013,573.3
"Golden Valley County, Montana(6,10)",30037,567.8
"Lewis County, West Virginia(6,10)",54041,566.2
"Catahoula Parish, Louisiana(7,9)",22025,562.9
"Tucker County, West Virginia(6,10)",54093,561.7
"Cape May County, New Jersey(7,8)",34009,557.5
"Haakon County, South Dakota(6,10)",46055,557
"Ida County, Iowa(7,8)",19093,556.9
"Wyoming County, New York(6,10)",36121,554.6
"Vilas County, Wisconsin(6,10)",55125,551.4
"East Feliciana Parish, Louisiana(7,9)",22037,551
"Garfield County, Nebraska(6,10)",31071,550.5
"Logan County, West Virginia(6,10)",54045,550.5
"Marion County, Tennessee(6,10)",47115,550.3
"Bullock County, Alabama(6,10)",1011,549.6
"Treasure County, Montana(6,10)",30103,548.8
"Erie County, New York(6,10)",36029,548.5
"Chautauqua County, New York(6,10)",36013,547.8
"Adams County, Iowa(7,8)",19003,546.9
"Suffolk County, New York(6,10)",36103,546.1
"Calhoun County, Iowa(7,8)",19025,545.8
"Benton County, Tennessee(6,10)",47005,545.2
"Lee County, Georgia(7,9)",13177,543.2
"Tunica County, Mississippi(6,10)",28143,542.9
"Camden County, New Jersey(7,8)",34007,542.2
"Gloucester County, New Jersey(7,8)",34015,542
"Dewey County, South Dakota(6,10)",46041,540.9
"Nassau County, New York(6,10)",36059,540.6
"Lewis County, Tennessee(6,10)",47101,540.5
"Cumberland County, New Jersey(7,8)",34011,539.9
"Talbot County, Georgia(7,9)",13263,539.4
"Pulaski County, Missouri(6,10)",29169,538.6
"Burlington County, New Jersey(7,8)",34005,538.2
"Greene County, Iowa(7,8)",19073,537.9
"Cheatham County, Tennessee(6,10)",47021,536.8
"St. Landry Parish, Louisiana(7,9)",22097,536.5
"Gregory County, South Dakota(6,10)",46053,536.5
"Towns County, Georgia(7,9)",13281,536.1
"Wayne County, Missouri(6,10)",29223,535.6
"Page County, Iowa(7,8)",19145,535.3
"Richmond County, New York(6,10)",36085,534.9
"Monmouth County, New Jersey(7,8)",34025,534.4
"Union County, South Dakota(6,10)",46127,534.2
"Saline County, Nebraska(6,10)",31151,534
"Chattahoochee County, Georgia(7,9)",13053,533.1
"Gem County, Idaho(6,10)",16045,532.7
"St. Francois County, Missouri(6,10)",29187,532.5
"Mingo County, West Virginia(6,10)",54059,532.3
"Washington Parish, Louisiana(7,9)",22117,532.2
"West Baton Rouge Parish, Louisiana(7,9)",22121,532
"Polk County, Texas(6,10)",48373,531.2
"Humphreys County, Tennessee(6,10)",47085,531.1
"Osceola County, Michigan(6,10)",26133,531.1
"Vermilion Parish, Louisiana(7,9)",22113,529.9
"Scott County, Mississippi(6,10)",28123,529.1
"Musselshell County, Montana(6,10)",30065,528.8
"Union County, Tennessee(6,10)",47173,528.6
"Rockland County, New York(6,10)",36087,527.5
"Washington County, Mississippi(6,10)",28151,526.5
"Dallas County, Alabama(6,10)",1047,526.3
"Wicomico County, Maryland(6,10)",24045,525.7
"Clayton County, Georgia(7,8)",13063,525.6
"Scott County, Tennessee(6,10)",47151,525.5
"Chambers County, Alabama(6,10)",1017,525.5
"Oswego County, New York(6,10)",36075,525.1
"Sabine Parish, Louisiana(7,9)",22085,524.5
"Gray County, Texas(6,10)",48179,524.2
"Wexford County, Michigan(6,10)",26165,523.9
"Jackson County, Iowa(7,8)",19097,523.7
"Leflore County, Mississippi(6,10)",28083,523.2
"Winkler County, Texas(6,10)",48495,522.6
"Ocean County, New Jersey(7,8)",34029,522.6
"Hale County, Alabama(6,10)",1065,522.5
"Onondaga County, New York(6,10)",36067,522.5
"Alpena County, Michigan(6,10)",26007,522
"Atlantic County, New Jersey(7,8)",34001,521.8
"Chenango County, New York(6,10)",36017,521.4
"Macon County, Alabama(6,10)",1087,521.3
"Rensselaer County, New York(6,10)",36083,521
"Warren County, New York(6,10)",36113,521
"Wayne County, Michigan(7,8)",26163,521
"Russell County, Alabama(6,10)",1113,520.8
"Honolulu County, Hawaii(7,9)",15003,520.6
"Heard County, Georgia(7,9)",13149,520.4
"Grand Traverse County, Michigan(6,10)",26055,520.3
"Genesee County, New York(6,10)",36037,520.1
"Clinton County, New York(6,10)",36019,519.6
"Sherman County, Oregon(6,10)",41055,519.4
"Stanley County, South Dakota(6,10)",46117,519.1
"Marlboro County, South Carolina(6,10)",45069,519.1
"Wapello County, Iowa(7,8)",19179,518.9
"Forrest County, Mississippi(6,10)",28035,518.6
"De Soto Parish, Louisiana(7,9)",22031,518.3
"Mercer County, New Jersey(7,8)",34021,518.1
"Hamilton County, New York(6,10)",36041,518
"Nome Census Area, Alaska(6,10)",2180,517.6
"Middlesex County, New Jersey(7,8)",34023,517.3
"Hughes County, South Dakota(6,10)",46065,516.5
"Iron County, Missouri(6,10)",29093,516.2
"Tyrrell County, North Carolina(6,10)",37177,516.1
"Tift County, Georgia(7,9)",13277,515.7
"Somerset County, Maryland(6,10)",24039,515.6
"Wayne County, New York(6,10)",36117,515.5
"Cattaraugus County, New York(6,10)",36009,515.5
"Minnehaha County, South Dakota(6,10)",46099,515.4
"Scotland County, North Carolina(6,10)",37165,515.4
"Washington County, New York(6,10)",36115,515.4
"Grant County, Arkansas(6,10)",5053,515.3
"Orange County, New York(6,10)",36071,515.1
"Copiah County, Mississippi(6,10)",28029,515.1
"Salem County, New Jersey(7,8)",34033,515
"Boone County, West Virginia(6,10)",54005,514.9
"Rowan County, North Carolina(6,10)",37159,514.6
"St. Martin Parish, Louisiana(7,9)",22099,514.5
"Hardin County, Iowa(7,8)",19083,514.3
"Putnam County, New York(6,10)",36079,514.2
"Glascock County, Georgia(7)",13125,514
"Pierce County, Washington(7,8)",53053,513.7
"Marion County, West Virginia(6,10)",54049,513.3
"Rockingham County, North Carolina(6,10)",37157,513
"Harrison County, Mississippi(6,10)",28047,512.7
