County, FIPS,rate
"Lyman County, South Dakota(6,10)",46085,226.8
"Warren County, Georgia(7)",13301,210.2
"Haakon County, South Dakota(6,10)",46055,202.9
"Sweet Grass County, Montana(6,10)",30097,188.6
"Turner County, Georgia(7,9)",13287,186
"Allendale County, South Carolina(6,10)",45005,183.6
"Hughes County, South Dakota(6,10)",46065,183.3
"Potter County, South Dakota(6,10)",46107,182.4
"Union County, Florida(6,10)",12125,175.5
"Tunica County, Mississippi(6,10)",28143,173.9
"West Feliciana Parish, Louisiana(7,9)",22125,173.9
"Dallam County, Texas(6,10)",48111,172.2
"Teton County, Montana(6,10)",30099,172
"Glascock County, Georgia(7)",13125,171.4
"Pondera County, Montana(6,10)",30073,170
"Oktibbeha County, Mississippi(6,10)",28105,168.3
"Greene County, Iowa(7,8)",19073,167.1
"Kingsbury County, South Dakota(6,10)",46077,166.8
"Turner County, South Dakota(6,10)",46125,166.2
"Mitchell County, Georgia(7,9)",13205,166
"Grundy County, Missouri(6,10)",29079,165.3
"Terrell County, Georgia(7,9)",13273,164.7
"Belknap County, New Hampshire(6,10)",33001,164.2
"Catron County, New Mexico(7)",35003,163.9
"District of Columbia, District of Columbia(6,10)",11001,163.4
"Piscataquis County, Maine(6,10)",23021,162.2
"Calhoun County, Iowa(7,8)",19025,162
"McCormick County, South Carolina(6,10)",45065,161.1
"Durham County, North Carolina(6,10)",37063,161
"Keith County, Nebraska(6,10)",31101,160.3
"Minnehaha County, South Dakota(6,10)",46099,160.1
"Floyd County, Iowa(7,8)",19067,160
"Richland County, Montana(6,10)",30083,159.4
"Lanier County, Georgia(7,9)",13173,158.3
"Shelby County, Missouri(6,10)",29205,157.5
"Westchester County, New York(6,10)",36119,157
"Furnas County, Nebraska(6,10)",31065,156.2
"Washington County, Idaho(6,10)",16087,156.1
"Hutchinson County, South Dakota(6,10)",46067,155.5
"Dorchester County, South Carolina(6,10)",45035,154.9
"East Feliciana Parish, Louisiana(7,9)",22037,154.9
"Crawford County, Georgia(7,9)",13079,154.8
"Hunterdon County, New Jersey(7,8)",34019,154.7
"Ida County, Iowa(7,8)",19093,154.4
"New York County, New York(6,10)",36061,154.4
"King County, Washington(7,8)",53033,154.1
"San Mateo County, California(7,8)",6081,153.9
"Nassau County, New York(6,10)",36059,153.9
"Union County, South Dakota(6,10)",46127,153.6
"Middlesex County, Connecticut(7,8)",9007,153.3
"Cheyenne County, Nebraska(6,10)",31033,153.2
"Fairfield County, Connecticut(7,8)",9001,153.2
"Honolulu County, Hawaii(7,9)",15003,152.7
"Tift County, Georgia(7,9)",13277,152.3
"Teller County, Colorado(6,10)",8119,152
"Weston County, Wyoming(6,10)",56045,152
"Major County, Oklahoma(6,10)",40093,152
"De Soto Parish, Louisiana(7,9)",22031,151.8
"Grand Traverse County, Michigan(6,10)",26055,151.7
"Gem County, Idaho(6,10)",16045,151.7
"Clear Creek County, Colorado(6,10)",8019,151.7
"Inyo County, California(7,9)",6027,151.7
"Fall River County, South Dakota(6,10)",46047,151.5
"Ventura County, California(7,9)",6111,151.4
"Sawyer County, Wisconsin(6,10)",55113,151.3
"Bibb County, Alabama(6,10)",1007,151.3
"Pike County, Missouri(6,10)",29163,151.2
"Kossuth County, Iowa(7,8)",19109,151
"Lenoir County, North Carolina(6,10)",37107,151
"St. Louis County, Missouri(6,10)",29189,150.9
"Randolph County, Georgia(7,9)",13243,150.9
"Guthrie County, Iowa(7,8)",19077,150.9
"Calvert County, Maryland(6,10)",24009,150.8
"Wyoming County, New York(6,10)",36121,150.7
"Butler County, Alabama(6,10)",1013,150.6
"Knox County, Ohio(6,10)",39083,150.6
"Ketchikan Gateway Borough, Alaska(6,10)",2130,150.5
"Okfuskee County, Oklahoma(6,10)",40107,150.2
"Rockland County, New York(6,10)",36087,150.2
"Camden County, New Jersey(7,8)",34007,150.2
"Morris County, New Jersey(7,8)",34027,150
"Benton County, Washington(6,10)",53005,150
"Minidoka County, Idaho(6,10)",16067,149.9
"Macon County, Missouri(6,10)",29121,149.7
"Yolo County, California(7,9)",6113,149.6
"Fayette County, Tennessee(6,10)",47047,149.5
"Hand County, South Dakota(6,10)",46059,149.5
"Erie County, New York(6,10)",36029,149.4
"Glenn County, California(7,9)",6021,149.2
"Bergen County, New Jersey(7,8)",34003,149.2
"Amador County, California(7,9)",6005,149.2
"Chittenden County, Vermont(6,10)",50007,149
"Greene County, Georgia(7)",13133,148.6
"Suffolk County, New York(6,10)",36103,148.4
"Santa Cruz County, California(7,9)",6087,148.2
"Santa Barbara County, California(7,9)",6083,148.2
"Dodge County, Nebraska(6,10)",31053,148.1
"Lake County, Montana(6,10)",30047,147.8
"Los Angeles County, California(7,9)",6037,147.6
"Waukesha County, Wisconsin(6,10)",55133,147.5
"Monroe County, New York(6,10)",36055,147.5
"Lafayette Parish, Louisiana(7,9)",22055,147.4
"Tripp County, South Dakota(6,10)",46123,147.3
"Mercer County, New Jersey(7,8)",34021,147.1
"Monmouth County, New Jersey(7,8)",34025,147
"Monroe County, Alabama(6,10)",1099,147
"Napa County, California(7,9)",6055,146.9
"Cascade County, Montana(6,10)",30013,146.9
"Grand County, Utah(7,8)",49019,146.9
"Merrimack County, New Hampshire(6,10)",33013,146.8
"Calhoun County, Mississippi(6,10)",28013,146.8
"Cattaraugus County, New York(6,10)",36009,146.6
"Charles Mix County, South Dakota(6,10)",46023,146.5
"Archuleta County, Colorado(6,10)",8007,146.4
"La Crosse County, Wisconsin(6,10)",55063,146.4
"Orange County, California(7,9)",6059,146.2
"Pamlico County, North Carolina(6,10)",37137,146.1
"Essex County, New Jersey(7,8)",34013,146.1
"Middlesex County, New Jersey(7,8)",34023,146
"Warren County, Iowa(7,8)",19181,145.9
"DeKalb County, Georgia(7,8)",13089,145.8
"Millard County, Utah(7,8)",49027,145.6
"Clay County, South Dakota(6,10)",46027,145.6
"Marengo County, Alabama(6,10)",1091,145.6
"Williamson County, Tennessee(6,10)",47187,145.5
"Clay County, Iowa(7,8)",19041,145.3
"Clackamas County, Oregon(6,10)",41005,145.3
"Fentress County, Tennessee(6,10)",47049,145.1
"Santa Clara County, California(7,9)",6085,145.1
"Valdez-Cordova Census Area, Alaska(6,10)",2261,145.1
"Pierce County, Washington(7,8)",53053,145.1
"Los Alamos County, New Mexico(7,8)",35028,145
"Sacramento County, California(7,9)",6067,145
"Taylor County, Iowa(7,8)",19173,145
"Albany County, New York(6,10)",36001,145
"Boone County, Indiana(6,10)",18011,144.9
"Anson County, North Carolina(6,10)",37007,144.9
"Fulton County, Georgia(7,8)",13121,144.9
"Taos County, New Mexico(7,8)",35055,144.8
"San Diego County, California(7,9)",6073,144.7
"Dallas County, Iowa(7,8)",19049,144.7
"Kent County, Michigan(6,10)",26081,144.7 #  
"Van Wert County, Ohio(6,10)",39161,144.7
"Toole County, Montana(6,10)",30101,144.6
"Butte County, California(7,9)",6007,144.6
"Washburn County, Wisconsin(6,10)",55129,144.5
"Bernalillo County, New Mexico(7,8)",35001,144.4
"Placer County, California(7,9)",6061,144.2
"Alachua County, Florida(6,10)",12001,144
"Gray County, Texas(6,10)",48179,143.9
"Newport County, Rhode Island(6,10)",44005,143.8
"Mecklenburg County, North Carolina(6,10)",37119,143.7
"Gwinnett County, Georgia(7,8)",13135,143.7
"Osceola County, Michigan(6,10)",26133,143.6 #  
"Erie County, Ohio(6,10)",39043,143.6
"Atlantic County, New Jersey(7,8)",34001,143.4
"Lamar County, Georgia(7,9)",13171,143.4
"Gregg County, Texas(6,10)",48183,143.4
"Ozaukee County, Wisconsin(6,10)",55089,143.4
"Multnomah County, Oregon(6,10)",41051,143.3
"Auglaize County, Ohio(6,10)",39011,143.3
"Union County, New Jersey(7,8)",34039,143.2
"San Francisco County, California(7,8)",6075,143.2
"San Juan County, Washington(7,8)",53055,143.1
"Buffalo County, Nebraska(6,10)",31019,143
"Marin County, California(7,8)",6041,142.9
"Talbot County, Maryland(6,10)",24041,142.9
"Polk County, Oregon(6,10)",41053,142.9
"Buncombe County, North Carolina(6,10)",37021,142.8
"Somerset County, New Jersey(7,8)",34035,142.6
"Guilford County, North Carolina(6,10)",37081,142.6
"Russell County, Alabama(6,10)",1113,142.6
"Denver County, Colorado(6,10)",8031,142.5
"St. Francois County, Missouri(6,10)",29187,142.5
"Cooper County, Missouri(6,10)",29053,142.5
"Marathon County, Wisconsin(6,10)",55073,142.4
"Pickens County, Alabama(6,10)",1107,142.4
"Jenkins County, Georgia(7,9)",13165,142.3
"Whatcom County, Washington(7,8)",53073,142.3
"Wake County, North Carolina(6,10)",37183,142.3
"Alameda County, California(7,8)",6001,142.2
"Rockwall County, Texas(6,10)",48397,142.1
"Clallam County, Washington(7,8)",53009,142.1
"Cole County, Missouri(6,10)",29051,142.1
"Skagit County, Washington(7,8)",53057,142.1
"Rockingham County, New Hampshire(6,10)",33015,142
"Gallatin County, Montana(6,10)",30031,141.8
"Carter County, Missouri(6,10)",29035,141.8
"Alamance County, North Carolina(6,10)",37001,141.7
"Island County, Washington(7,8)",53029,141.6
"Boulder County, Colorado(6,10)",8013,141.5
"Marion County, Tennessee(6,10)",47115,141.4
"Autauga County, Alabama(6,10)",1001,141.4
"Crawford County, Indiana(6,10)",18025,141.3
"Montgomery County, Maryland(6,10)",24031,141.2
"Yamhill County, Oregon(6,10)",41071,141.1
"Cobb County, Georgia(7,8)",13067,141.1
"Forsyth County, Georgia(7,9)",13117,141
"Madison County, Iowa(7,8)",19121,141
"Martin County, Indiana(6,10)",18101,141
"Union County, Oregon(6,10)",41061,141
"Hillsborough County, New Hampshire(6,10)",33011,141
"Cortland County, New York(6,10)",36023,140.8
"El Dorado County, California(7,9)",6017,140.8
"Vance County, North Carolina(6,10)",37181,140.8
"Richmond County, New York(6,10)",36085,140.7
"Livingston County, Missouri(6,10)",29117,140.7
"Snohomish County, Washington(7,8)",53061,140.7
"Montgomery County, Georgia(7,9)",13209,140.7
"Grant County, South Dakota(6,10)",46051,140.5
"Martin County, North Carolina(6,10)",37117,140.5
"New London County, Connecticut(7,8)",9011,140.5
"Lewis County, Tennessee(6,10)",47101,140.5
"Camden County, North Carolina(6,10)",37029,140.4
"Oconee County, Georgia(7,9)",13219,140.4
"Thurston County, Washington(7,8)",53067,140.4
"Clay County, West Virginia(6,10)",54015,140.4
"Parker County, Texas(6,10)",48367,140.3
"San Luis Obispo County, California(7,9)",6079,140.2
"Wright County, Missouri(6,10)",29229,140.2
"Muskegon County, Michigan(6,10)",26121,140.1 #  
"Dutchess County, New York(6,10)",36027,140.1
"St. Tammany Parish, Louisiana(7,9)",22103,140
"Halifax County, North Carolina(6,10)",37083,140
"Fort Bend County, Texas(6,10)",48157,139.8
"New Haven County, Connecticut(7,8)",9009,139.7
"Contra Costa County, California(7,8)",6013,139.7
"Twiggs County, Georgia(7,9)",13289,139.7
"Worcester County, Maryland(6,10)",24047,139.6
"Baltimore City, Maryland(6,10)",24510,139.6
"Mecosta County, Michigan(6,10)",26107,139.5 #  
"Lake County, Oregon(6,10)",41037,139.5
"Washington County, Oregon(6,10)",41067,139.4
"Dallas County, Alabama(6,10)",1047,139.4
"Burlington County, New Jersey(7,8)",34005,139.4
"Franklin County, Missouri(6,10)",29071,139.4
"Effingham County, Georgia(7,9)",13103,139.2
"Lake County, Ohio(6,10)",39085,139.2
"Spokane County, Washington(6,10)",53063,139.2
"Pulaski County, Missouri(6,10)",29169,139.2
"Saline County, Nebraska(6,10)",31151,139.2
"Winnebago County, Wisconsin(6,10)",55139,139.1
"White County, Tennessee(6,10)",47185,139.1
"Greene County, Ohio(6,10)",39057,139
"Warrick County, Indiana(6,10)",18173,138.8
"Kent County, Rhode Island(6,10)",44003,138.7
"Strafford County, New Hampshire(6,10)",33017,138.7
"Imperial County, California(7,9)",6025,138.7
"Hamilton County, New York(6,10)",36041,138.6
"Wilkes County, Georgia(7,9)",13317,138.6
"Solano County, California(7,9)",6095,138.6
"Sonoma County, California(7,9)",6097,138.5
"Harford County, Maryland(6,10)",24025,138.5
"Screven County, Georgia(7,9)",13251,138.5
"Hamilton County, Ohio(6,10)",39061,138.5
"Fayette County, Georgia(7,9)",13113,138.4
"Tolland County, Connecticut(7,8)",9013,138.4
"Cleveland County, North Carolina(6,10)",37045,138.4
"Racine County, Wisconsin(6,10)",55101,138.3
"Oakland County, Michigan(7,8)",26125,138.3
"Santa Fe County, New Mexico(7,8)",35049,138.3
"Grenada County, Mississippi(6,10)",28043,138.3
"Lee County, North Carolina(6,10)",37105,138.2
"Hamlin County, South Dakota(6,10)",46057,138.1
"Kershaw County, South Carolina(6,10)",45055,138.1
"Dickinson County, Iowa(7,8)",19059,138
"Columbia County, Wisconsin(6,10)",55021,137.9
"Hartford County, Connecticut(7,8)",9003,137.8
"Arapahoe County, Colorado(6,10)",8005,137.8
"Lavaca County, Texas(6,10)",48285,137.8
"Polk County, Iowa(7,8)",19153,137.7
"Putnam County, New York(6,10)",36079,137.6
"Anderson County, Tennessee(6,10)",47001,137.6
"Boone County, Missouri(6,10)",29019,137.4
"Richland County, South Carolina(6,10)",45079,137.4
"Dare County, North Carolina(6,10)",37055,137.4
"Milwaukee County, Wisconsin(6,10)",55079,137.4
"Tompkins County, New York(6,10)",36109,137.3
"Plaquemines Parish, Louisiana(7,9)",22075,137.3
"Ottawa County, Michigan(6,10)",26139,137.3 #  
"Harris County, Texas(6,10)",48201,137.2
"Clark County, Ohio(6,10)",39023,137.2
"Josephine County, Oregon(6,10)",41033,137.1
"Passaic County, New Jersey(7,8)",34031,137.1
"Washington County, Nebraska(6,10)",31177,137.1
"Chatham County, North Carolina(6,10)",37037,137
"Troup County, Georgia(7,9)",13285,137
"Iredell County, North Carolina(6,10)",37097,136.9
"Walworth County, Wisconsin(6,10)",55127,136.9
"Orange County, North Carolina(6,10)",37135,136.9
"Johnson County, Iowa(7,8)",19103,136.8
"Gloucester County, New Jersey(7,8)",34015,136.7
"Orleans Parish, Louisiana(7,9)",22071,136.7
"Greene County, New York(6,10)",36039,136.6
"Adair County, Missouri(6,10)",29001,136.6
"Ontonagon County, Michigan(6,10)",26131,136.5 #  
"Moore County, North Carolina(6,10)",37125,136.4
"Garfield County, Utah(7)",49017,136.4
"Hendricks County, Indiana(6,10)",18063,136.2
"Cumberland County, Maine(6,10)",23005,136.1
"Onondaga County, New York(6,10)",36067,136.1
"Adams County, Iowa(7)",19003,136.1
"Boone County, Nebraska(6,10)",31011,136.1
"Allegany County, New York(6,10)",36003,136
"York County, Maine(6,10)",23031,136
"Waldo County, Maine(6,10)",23027,135.9
"Crockett County, Tennessee(6,10)",47033,135.9
"Henderson County, North Carolina(6,10)",37089,135.8
"Marquette County, Michigan(6,10)",26103,135.8 #  
"Saratoga County, New York(6,10)",36091,135.8
"Preston County, West Virginia(6,10)",54077,135.8
"Clay County, Tennessee(6,10)",47027,135.8
"Maui County, Hawaii(7,9)",15009,135.7
"Genesee County, New York(6,10)",36037,135.7
"Livingston County, New York(6,10)",36051,135.6
"Morgan County, Georgia(7)",13211,135.6
"Clark County, South Dakota(6,10)",46025,135.5
"Palo Alto County, Iowa(7,8)",19147,135.5
"Douglas County, Nebraska(6,10)",31055,135.5
"Dubuque County, Iowa(7,8)",19061,135.5
"Carroll County, Maryland(6,10)",24013,135.5
"Hardin County, Iowa(7,8)",19083,135.4
"Sandoval County, New Mexico(7,8)",35043,135.4
"Washington Parish, Louisiana(7,9)",22117,135.4
"Monterey County, California(7,9)",6053,135.4
"Rowan County, North Carolina(6,10)",37159,135.4
"Green Lake County, Wisconsin(6,10)",55047,135.4
"Erath County, Texas(6,10)",48143,135.4
"Chatham County, Georgia(7,9)",13051,135.3
"Jackson County, Iowa(7,8)",19097,135.3
"Cabell County, West Virginia(6,10)",54011,135.3
"Loudon County, Tennessee(6,10)",47105,135.2
"Baltimore County, Maryland(6,10)",24005,135.2
"Davidson County, Tennessee(6,10)",47037,135.1
"Dallas County, Texas(6,10)",48113,135.1
"Bronx County, New York(6,10)",36005,135.1
"Forsyth County, North Carolina(6,10)",37067,135.1
"Iron County, Missouri(6,10)",29093,135.1
"Codington County, South Dakota(6,10)",46029,135.1
"Vigo County, Indiana(6,10)",18167,135.1
"Muscogee County, Georgia(7,9)",13215,135.1
"Merrick County, Nebraska(6,10)",31121,135
"Owyhee County, Idaho(6,10)",16073,134.9
"Otsego County, New York(6,10)",36077,134.9
"Rush County, Indiana(6,10)",18139,134.8
"Duval County, Florida(6,10)",12031,134.8
"Granville County, North Carolina(6,10)",37077,134.8
"Wayne County, Michigan(7,8)",26163,134.8
"Worth County, Iowa(7,8)",19195,134.7
"Yazoo County, Mississippi(6,10)",28163,134.7
"Shelby County, Tennessee(6,10)",47157,134.7
"Wayne County, New York(6,10)",36117,134.7
"Anne Arundel County, Maryland(6,10)",24003,134.7
