offset,latitude,longitude,url,title
0,38.054206,-108.864298,http://clui.org/ludb/site/slick-rock-disposal-cell,Slick Rock Disposal Cell
1,32.952832,-111.816573,http://clui.org/ludb/site/sacaton-pit,Sacaton Pit
2,32.511363,-111.325192,http://clui.org/ludb/site/pinal-airpark,Pinal Airpark
3,37.049544,-88.326505,http://clui.org/ludb/site/lwd-incinerator,LWD Incinerator
4,37.186852,-86.098824,http://clui.org/ludb/site/mammoth-cave,Mammoth Cave
5,37.883289,-85.965207,http://clui.org/ludb/site/fort-knox,Fort Knox
6,37.11211,-88.811287,http://clui.org/ludb/site/paducah-gaseous-diffusion-plant,Paducah Gaseous Diffusion Plant
7,36.653584,-87.459709,http://clui.org/ludb/site/fort-campbell,Fort Campbell
8,36.753326,-83.699509,http://clui.org/ludb/site/chained-rock,Chained Rock
9,37.679745,-84.256599,http://clui.org/ludb/site/blue-grass-army-depot,Blue Grass Army Depot
10,38.258676,-83.569822,http://clui.org/ludb/site/maxey-flats-radioactive-waste-site,Maxey Flats Radioactive Waste Site
11,47.503983,-101.427155,http://clui.org/ludb/site/garrison-dam,Garrison Dam
12,47.9431,-97.387199,http://clui.org/ludb/site/grand-forks-air-force-base,Grand Forks Air Force Base
13,48.419891,-101.336342,http://clui.org/ludb/site/minot-air-force-base,Minot Air Force Base
14,48.107303,-98.89501,http://clui.org/ludb/site/devils-lake-wastewater-treatment-plant,Devil&#039;s Lake Wastewater Treatment Plant
15,48.354467,-99.998123,http://clui.org/ludb/site/geographic-center-north-america,Geographic Center of North America
16,47.342224,-97.289169,http://clui.org/ludb/site/tallest-tower,Tallest Tower
17,48.724407,-97.903268,http://clui.org/ludb/site/cavalier-air-force-station,Cavalier Air Force Station
18,46.084485,-90.916843,http://clui.org/ludb/site/elf-transmitter-site,ELF Transmitter Site
19,42.570679,-88.556267,http://clui.org/ludb/site/yerkes-observatory,Yerkes Observatory
20,44.499199,-89.802209,http://clui.org/ludb/site/rudolph-grotto-and-wonder-cave,Rudolph Grotto and Wonder Cave
21,43.367935,-89.75856,http://clui.org/ludb/site/badger-army-ammunition-plant,Badger Army Ammunition Plant
22,42.732853,-90.47274,http://clui.org/ludb/site/mining-museum,Mining Museum
23,45.67085,-90.391109,http://clui.org/ludb/site/wisconsin-concrete-park,Wisconsin Concrete Park
24,43.363888,-89.771667,http://clui.org/ludb/site/forevertron,Forevertron
25,43.982571,-88.580193,http://clui.org/ludb/site/eaa-air-adventure-museum,EAA Air Adventure Museum
26,46.008383,-91.479544,http://clui.org/ludb/site/national-fresh-water-fishing-hall-fame,National Fresh Water Fishing Hall of Fame
27,38.515442,-90.551985,http://clui.org/ludb/site/tyson-research-center,Tyson Research Center
28,37.759857,-92.126343,http://clui.org/ludb/site/fort-leonard-wood,Fort Leonard Wood
29,36.640653,-93.246042,http://clui.org/ludb/site/branson,Branson
30,36.563755,-92.819214,http://clui.org/ludb/site/ozark-underground-lab,Ozark Underground Lab
31,38.241939,-91.092383,http://clui.org/ludb/site/meramec-caverns,Meramec Caverns
32,38.957408,-94.571922,http://clui.org/ludb/site/kansas-city-plant,Kansas City Plant
33,38.506208,-90.600423,http://clui.org/ludb/site/times-beach,Times Beach
34,38.731682,-93.572517,http://clui.org/ludb/site/whiteman-air-force-base,Whiteman Air Force Base
35,38.624599,-90.184967,http://clui.org/ludb/site/gateway-west-arch,Gateway to the West Arch
36,38.199879,-92.633286,http://clui.org/ludb/site/lake-ozarks,Lake of the Ozarks
37,37.840698,-90.508583,http://clui.org/ludb/site/missouri-mines-historic-site,Missouri Mines Historic Site
38,37.287933,-93.360062,http://clui.org/ludb/site/fantastic-caverns,Fantastic Caverns
39,38.698151,-90.728264,http://clui.org/ludb/site/weldon-spring-disposal-cell,Weldon Spring Disposal Cell
40,38.023647,-92.790749,http://clui.org/ludb/site/bridal-cave,Bridal Cave
41,41.5317,-71.30825,http://clui.org/ludb/site/naval-undersea-warfare-center-newport,"Naval Undersea Warfare Center, Newport"
42,41.586661,-71.420043,http://clui.org/ludb/site/general-dynamics-electric-boat-facility,General Dynamics Electric Boat Facility
43,41.471963,-71.306755,http://clui.org/ludb/site/sod-maze,Sod Maze
44,33.475964,-86.843158,http://clui.org/ludb/site/joe-minters-yard,Joe Minter&#039;s Yard
45,32.59652,-87.533226,http://clui.org/ludb/site/rural-studio-newbern,Rural Studio Newbern
46,34.6512,-86.670456,http://clui.org/ludb/site/marshall-space-flight-center-nasa,Marshall Space Flight Center (NASA )
47,31.341469,-85.722626,http://clui.org/ludb/site/fort-rucker,Fort Rucker
48,33.526088,-86.860743,http://clui.org/ludb/site/wade-quarry,Wade Quarry
49,33.207644,-87.550392,http://clui.org/ludb/site/bryant-denny-stadium,Bryant-Denny Stadium
50,34.707012,-87.120552,http://clui.org/ludb/site/browns-ferry-nuclear-power-plant,Browns Ferry Nuclear Power Plant
51,34.770241,-87.627296,http://clui.org/ludb/site/oxychemical-muscle-shoals-plant,OxyChemical Muscle Shoals Plant
52,32.077385,-87.28127,http://clui.org/ludb/site/gees-bend,Gee&#039;s Bend
53,32.377026,-86.304393,http://clui.org/ludb/site/state-court-house,State Court House
54,33.650639,-85.973854,http://clui.org/ludb/site/anniston-army-depot,Anniston Army Depot
55,32.40419,-86.253647,http://clui.org/ludb/site/gunter-annex,Gunter Annex
56,32.791107,-88.30759,http://clui.org/ludb/site/emelle-hazardous-waste-mound,Emelle Hazardous Waste Mound
57,33.520808,-86.791306,http://clui.org/ludb/site/sloss-furnace,Sloss Furnace
58,34.63893,-87.083044,http://clui.org/ludb/site/trico-decatur-mini-mill,Trico Decatur Mini Mill
