Alabama,Assassination,1
Alabama,Bombing/Explosion,3
Alabama,Hostage Taking (Kidnapping),1
Arizona,Armed Assault,2
Arizona,Assassination,1
Arizona,Facility/Infrastructure Attack,1
Arkansas,Armed Assault,2
California,Armed Assault,31
California,Assassination,14
California,Bombing/Explosion,26
California,Facility/Infrastructure Attack,1
California,Hostage Taking (Kidnapping),6
California,Unknown,1
Colorado,Assassination,2
Colorado,Bombing/Explosion,1
Colorado,Hostage Taking (Barricade Incident),3
Colorado,Hostage Taking (Kidnapping),15
Connecticut,Assassination,1
Connecticut,Unarmed Assault,1
District of Columbia,Armed Assault,10
District of Columbia,Facility/Infrastructure Attack,1
District of Columbia,Hostage Taking (Barricade Incident),2
District of Columbia,Unarmed Assault,4
Florida,Armed Assault,2
Florida,Assassination,9
Florida,Bombing/Explosion,1
Florida,Hijacking,1
Florida,Hostage Taking (Barricade Incident),50
Florida,Unarmed Assault,1
Georgia,Armed Assault,2
Georgia,Assassination,2
Georgia,Bombing/Explosion,2
Georgia,Unknown,1
Hawaii,Armed Assault,1
Hawaii,Bombing/Explosion,1
Illinois,Armed Assault,5
Illinois,Bombing/Explosion,1
Indiana,Armed Assault,4
Kansas,Armed Assault,4
Louisiana,Armed Assault,18
Maryland,Armed Assault,2
Maryland,Assassination,2
Maryland,Bombing/Explosion,3
Maryland,Hostage Taking (Barricade Incident),1
Massachusetts,Armed Assault,5
Massachusetts,Assassination,2
Massachusetts,Bombing/Explosion,3
Massachusetts,Hijacking,2
Michigan,Armed Assault,1
Michigan,Assassination,2
Michigan,Facility/Infrastructure Attack,2
Minnesota,Armed Assault,2
Mississippi,Assassination,1
Missouri,Armed Assault,1
Missouri,Assassination,1
Nebraska,Bombing/Explosion,1
Nevada,Armed Assault,5
Nevada,Bombing/Explosion,1
New Jersey,Armed Assault,3
New Jersey,Assassination,7
New Jersey,Bombing/Explosion,1
New York,Armed Assault,18
New York,Assassination,16
New York,Bombing/Explosion,19
New York,Facility/Infrastructure Attack,2
New York,Hijacking,2766
New York,Hostage Taking (Barricade Incident),1
New York,Unarmed Assault,1
North Carolina,Armed Assault,9
North Dakota,Armed Assault,2
Ohio,Armed Assault,6
Ohio,Assassination,1
Ohio,Facility/Infrastructure Attack,1
Oklahoma,Armed Assault,2
Oklahoma,Bombing/Explosion,168
Pennsylvania,Armed Assault,6
Pennsylvania,Assassination,1
Pennsylvania,Hijacking,44
Puerto Rico,Armed Assault,3
Puerto Rico,Assassination,9
Puerto Rico,Bombing/Explosion,6
Puerto Rico,Facility/Infrastructure Attack,2
Puerto Rico,Hostage Taking (Barricade Incident),2
South Carolina,Armed Assault,9
South Dakota,Hostage Taking (Barricade Incident),2
Tennessee,Armed Assault,10
Tennessee,Assassination,1
Tennessee,Bombing/Explosion,1
Texas,Armed Assault,24
Texas,Assassination,2
Texas,Facility/Infrastructure Attack,17
Utah,Armed Assault,2
Utah,Assassination,1
Virginia,Armed Assault,4
Virginia,Assassination,3
Virginia,Hijacking,189
Washington,Armed Assault,5
Washington,Bombing/Explosion,1
Wisconsin,Armed Assault,8
Wisconsin,Bombing/Explosion,1
